Sample_ID,Annual_Rainfall_mm,Average_Temp_C,Growing_Season_days,Elevation_m,Solar_Radiation_MJ_m2,Wind_Speed_m_s,Soil_Drainage
USGS_SOIL_00000,1002.4493718656825,15.154641556862154,190.30412818981435,2524.791119458348,18.90165492771552,1.2573028894574354,Poor
USGS_SOIL_00001,354.3048900103513,20.57315779707083,149.15566953185484,1547.341573087123,16.520675330463977,1.5940578981693925,Moderate
USGS_SOIL_00002,797.5343613507507,17.263504283686956,197.978787806365,1992.2482037665964,17.713221016218636,4.453665125615482,Moderate
USGS_SOIL_00003,719.3166398218546,8.140170324577486,196.50674608574036,2004.6476208139195,16.36116963951241,7.747717227655548,Well
USGS_SOIL_00004,1256.5319620522166,9.54790209630836,168.08789041866763,2430.474634572453,22.523254841103267,9.219036053209104,Well
USGS_SOIL_00005,481.6889638371944,26.895961861328907,181.92337793737656,1950.60451662397,19.089599116923218,1.2673747481207736,Moderate
USGS_SOIL_00006,1025.447224646422,7.498825572746772,178.92817936774117,287.9484943962013,21.81448734806083,4.312270474181263,Poor
USGS_SOIL_00007,1092.921718113501,24.485342717803192,198.26169239316127,1092.3016497918366,11.399798633563886,3.014041925047698,Moderate
USGS_SOIL_00008,691.5146130246399,10.029477718538187,118.2468921567125,2969.016932176709,12.829658770705617,8.336847530489157,Moderate
USGS_SOIL_00009,837.7490793886014,24.041392848313865,117.45165448092388,669.8798375429644,5.306755795657756,8.61371330189177,Well
USGS_SOIL_00010,1073.2370879237174,19.32883177032014,119.5276776988322,1801.5143274025968,13.4304478341008,2.857679809227057,Poor
USGS_SOIL_00011,420.1490797974328,12.215656268923476,162.2093506937552,2544.5278556440585,14.857804330173137,7.39744528091385,Poor
USGS_SOIL_00012,621.8548937453338,0.8677581252623607,198.21229901210447,1801.0198261673268,16.73724826761046,7.585804335712857,Poor
USGS_SOIL_00013,805.8716132334132,18.188541607918324,90.16043709254672,1179.583748567364,12.876230457689044,2.593519271043133,Well
USGS_SOIL_00014,1369.2075470520613,16.452505093082323,183.7602637954912,332.6628318813466,17.94560448075539,4.903263253074122,Poor
USGS_SOIL_00015,630.0687461835605,18.31130223118868,227.7500123260134,1148.8282173546754,17.66537193696618,6.583040248994196,Poor
USGS_SOIL_00016,669.403643722032,19.315211921377703,190.92602349992808,627.9957835654398,13.105711560243162,1.23459946239339,Well
USGS_SOIL_00017,1214.1265262161803,4.486983503405631,99.24433056749542,2886.502167217742,11.166271578994484,4.641326497412945,Moderate
USGS_SOIL_00018,733.673419100293,18.14617445529229,200.84265319991763,2173.5923405190306,15.263631276842109,2.3946240965285863,Poor
USGS_SOIL_00019,1404.763460292914,20.940325396803072,189.6912509177084,2273.2111476436007,15.397288736152955,5.877068510087986,Moderate
USGS_SOIL_00020,1077.973606107019,20.845941502670943,166.294529950708,1364.3108714010966,12.569044992570262,8.586258251148593,Poor
USGS_SOIL_00021,706.198062929751,4.975547009260328,187.2710887947869,418.8980015819479,13.963165832140945,5.722785447634335,Moderate
USGS_SOIL_00022,663.5231190018561,24.234389976346037,124.16538886300803,873.477809885231,9.328563235187008,1.3238523658781558,Moderate
USGS_SOIL_00023,502.6216802085952,18.429595912107622,182.03954792317555,853.1622017923573,17.714202215717776,1.2669152103711203,Well
USGS_SOIL_00024,358.4926243107893,19.444383782034198,199.1436948178748,1511.6601173244767,17.77893141957097,6.449528313137344,Well
USGS_SOIL_00025,852.2446874918161,7.834399519079583,152.28295328922476,1436.8413814107355,15.19594881407977,3.9518340267305128,Poor
