Sample_ID,Latitude,Longitude,Soil_Depth_cm,pH,Ni_ppm,Co_ppm,Zn_ppm,Cu_ppm,Pb_ppm,Cd_ppm,Mn_ppm,Fe_ppm,Soil_OM_percent,Soil_Moisture_percent,Sand_percent,Silt_percent,Clay_percent,CEC_meq_per_100g,Annual_Rainfall_mm,Average_Temp_C,Growing_Season_days,Elevation_m,Solar_Radiation_MJ_m2,Wind_Speed_m_s,Soil_Drainage,Industrial_Proximity_km,Mining_Activity_History,Contamination_Source,Pollutant_Concentration_Index,Avg_Metal_ppm,Total_Metal_ppm,Max_Metal_ppm,Soil_Texture_Type,Drainage_Score,Mining_Activity_Score,Contamination_Source_Score,Rainfall_Normalized,Temp_Normalized,Environmental_Score,Contamination_Viability
USGS_SOIL_00004,28.74444737061848,-117.88248360506456,15,8.03385564801446,35.06093407651024,4.740321258479486,1713.282044456045,309.0234956617357,20.51193700369651,1.358913894682121,500.01531771362016,15393.416863111868,5.789930873642896,13.176429436790873,45.50459756100666,25.69003799780187,23.89393201726448,37.049197251807314,1256.5319620522166,9.54790209630836,168.08789041866763,2430.474634572453,22.523254841103267,9.219036053209104,Well,0.3929713696644885,Past,Agriculture,22.37725690852066,2247.1762283970797,17977.409827176638,15393.416863111868,Loam,3,1.0,2,0.8006321674296287,0.338269723239272,0.7129672968896337,0.2220138448258715
USGS_SOIL_00017,37.59415435917371,-108.66421875931498,10,6.352490559807875,51.07697279001236,1.6668380873331623,27.313143823648044,24.016657150712557,77.67752257978223,18.971569142507374,22.77927926768806,6296.220536181853,3.803955966290919,18.008677607050217,33.56193783801924,26.152079763959293,41.05908963741999,39.35637294748515,1214.1265262161803,4.486983503405631,99.24433056749542,2886.502167217742,11.166271578994484,4.641326497412945,Moderate,1.1340380646219554,,Agriculture,21.56631598174139,814.9653148779421,6519.722519023537,6296.220536181853,Clayey,2,,2,0.7712093274689493,0.19576131163876137,0.5445457685914591,0.210771755170022
USGS_SOIL_00025,43.844223073432325,-103.23409526538344,15,7.911156781982324,3.960646624546674,3.904996933241657,21.75638786682249,8.41813072687347,85.37526617352923,3.105787365204204,688.691877027966,1505.713515621307,8.914619256913529,11.144045748175008,60.10209194237346,29.702335116635982,14.329774378228016,5.675654585125333,852.2446874918161,7.834399519079583,152.28295328922476,1436.8413814107355,15.19594881407977,3.9518340267305128,Poor,4.7915429240518606,,Industrial,72.55651973308677,290.1158260424363,2320.9266083394905,1505.713515621307,Loam,1,,3,0.5201190788830595,0.2900198796443372,0.3811574306202434,0.6560336615866875
USGS_SOIL_00034,48.17516879378943,-118.6768513309532,10,4.110509399702496,80.13830310313955,10.749325896599942,22.11294270706618,500.0825494320021,0.6086732038688855,3.7428960567355447,80.11112660877914,8402.07426809741,7.080396394760079,28.269639059781003,40.22836175204478,33.18808339628256,22.9039656274615,28.00875638231321,733.673419100293,21.06332142518067,200.56582494762029,1718.7574823692971,10.848078377049642,7.864811387304206,Poor,0.3405256612433324,Current,Urban,30.63828938257044,1137.4525106382002,9099.620085105602,8402.07426809741,Loam,1,2.0,1,0.4378488843894132,0.6625278766450114,0.4779033647892526,0.30429626907543156
USGS_SOIL_00036,32.3107304601609,-93.57558127915364,10,6.470543301609978,30.744247875653528,3.0563160342678164,248.51546581633175,14.049599066167383,322.1896468608357,8.03190511794165,952.8345485039736,11886.727540403946,7.995550182912066,14.719283196846169,43.63102750966786,48.96123276254347,12.048632566596854,7.253120923026387,528.3103820331855,7.975627676274474,176.93756505530564,206.68785848460925,14.320491763927286,7.864883300090451,Well,2.630926762772553,Past,Mining,50.81848832868703,1683.2686587098897,13466.149269679117,11886.727540403946,Loam,3,1.0,4,0.2953585726089186,0.29399666764945065,0.5297850800861231,0.4814449390893528
USGS_SOIL_00037,27.34413073615321,-110.69424028555096,15,7.328734931625721,13.028684904388706,2.702193746667953,12.38491065611414,334.0909757448884,2.6693461188436376,0.4320361099487756,1997.359669685282,691.674485177343,7.166844317894362,25.3663469717179,55.96456252664419,16.39165021698921,29.22330604963848,8.488140345593703,474.7380566280799,9.692696605910095,143.33840630171912,2464.2861652711777,16.44687324001092,4.957557738971813,Well,6.336449739548337,,Urban,1.1702626810892625,381.79278776793456,3054.3423021434764,1997.359669685282,Loam,3,,1,0.2581876315340398,0.3423469347559234,0.5335115220966544,0.010219564678734385
USGS_SOIL_00038,41.42159263629176,-109.11464937398652,15,6.835871201096992,378.7259473564316,16.62489040098804,289.55719274818733,114.18637031482152,0.1991417868062901,0.382728679774259,38.89465095613199,5226.726780588329,6.627080646467055,21.89594277344484,43.05895028005493,18.905444445537803,35.205192333776694,19.664778985858085,1066.5236778808944,26.284701768225226,225.4531171777652,471.9398251492108,18.778940213379844,8.699945413919753,Poor,1.1390374399557583,,Urban,30.09755154104091,758.1622128539339,6065.297702831471,5226.726780588329,Loam,1,,1,0.6687956887764556,0.8095546674123828,0.6038945631740572,0.29411906779916036
USGS_SOIL_00041,36.88424584267048,-105.99732923059248,10,5.855891688312121,48.95054658644478,15.882713367740983,26.555316658754965,21.10320400814251,6.281600896139536,4.183405224540555,366.50608389414674,1398.1189423153528,6.665211472637624,31.999498306359623,51.59740970435138,27.574169637102063,18.03321346044813,13.568375902131526,735.722471964906,18.938872999807927,232.89109584732813,1354.1920012235894,4.289486944157,9.131852668244072,Moderate,1.473212024082882,Past,Urban,36.04593871067516,235.94772661890786,1887.581812951263,1398.1189423153528,Loam,2,1.0,1,0.43927061142317353,0.6027063709105297,0.5695478830001233,0.3498387250411673
USGS_SOIL_00046,32.481065826145866,-89.97804524031113,5,5.447012468289866,54.573529793121935,1.734342093418573,392.3179385707576,19.14870876705268,108.77864680274352,1.8462667188085768,66.8664286401326,2027.6021228069949,8.238885908443171,11.485657216114262,56.42529370657173,28.59724414449572,18.06099633515911,23.33909709399999,1336.3174439741508,14.953755060248474,169.27702363754685,2326.025842934211,12.898307907388798,1.485141547586298,Poor,4.826768780745646,Current,Unknown,87.17463771925573,334.1084980241288,2672.86798419303,2027.6021228069949,Loam,1,2.0,0,0.8559910010200106,0.4904910058177696,0.5599384467237044,0.7875920132293341
USGS_SOIL_00049,29.436506932612648,-95.59191026318562,5,8.5,273.4363758419796,2.17625403644872,57.84405579702594,34.317587276647686,5.889098149233807,2.709267482816238,3561.10053950692,1091.700487308492,3.4652184216003565,25.12280065134602,63.375508716043626,18.80749757779356,13.809755368874738,10.348203326139911,687.7333232522412,6.314309592877919,121.9979383394024,1245.6646434494262,14.870865210786182,9.300247311253376,Well,2.485723975024157,,Industrial,8.680457371463524,628.6467081749455,5029.173665399564,3561.10053950692,Loam,3,,3,0.40597353489078053,0.24721626664476723,0.551063267178516,0.08248912951415083
